1,TC-1,60503862,2020-09-08,2020-09-08,25,Annually,377,580019,1
2,TC-2,60422713,2020-08-24,2020-08-26,20,Quaterly,671,829002,1
3,TC-3,60450939,2020-08-24,2020-08-24,10,Annually,210,659027,1
4,TC-4,60394377,2020-08-24,2020-08-24,15,Annually,1863,612890,1
5,TC-5,60491531,2020-08-24,2020-08-25,20,Annually,730,879549,1
6,TC-6,60408239,2020-08-24,2020-08-29,20,Annually,941,862056,1
7,TC-7,60476244,2020-08-24,2020-08-24,10,Annually,331,529537,1
8,TC-8,60237645,2020-08-24,2020-09-30,15,Monthly,566,501114,1
9,TC-9,60221480,2020-08-24,2020-08-26,25,Annually,477,465743,1
10,TC-10,60410983,2020-09-29,2020-09-30,10,Quaterly,163,482589,1
11,TC-11,60465109,2020-09-29,2020-09-29,15,Annually,150,290359,1
12,TC-12,60458174,2020-09-29,2020-09-30,15,Monthly,637,256193,1
13,TC-13,60187292,2020-09-29,2020-09-29,15,Annually,720,975325,1
14,TC-14,60506834,2020-09-29,2020-09-29,15,Annually,239,488255,1
15,TC-15,60485549,2020-09-29,2020-09-29,15,Monthly,507,463986,1
16,TC-16,60413353,2020-09-29,2020-09-30,15,Annually,619,748124,1
17,TC-17,60375566,2020-09-29,2020-09-29,30,Annually,1434,948179,1
18,TC-18,60369576,2020-09-09,2020-09-09,15,Annually,876,697386,1
19,TC-19,60369572,2020-09-09,2020-09-19,25,Quaterly,6108,945435,1
20,TC-20,60475892,2020-09-09,2020-09-09,30,Monthly,1388,504069,3
21,TC-21,60399135,2020-09-09,2020-10-12,10,Annually,134,251382,1
22,TC-22,60415147,2020-09-09,2020-09-16,15,Annually,502,922758,1
23,TC-23,60489550,2020-09-09,2020-09-10,15,Monthly,790,414782,1
24,TC-24,60375566,2020-09-09,2020-09-16,10,Monthly,382,774939,1
25,TC-25,60369369,2020-09-09,2020-09-19,15,Annually,402,285325,1
26,TC-26,60237659,2020-08-24,2020-08-24,10,Annually,422,899975,1
27,TC-27,60407078,2020-08-24,2020-08-24,25,Annually,2156,847139,1
28,TC-28,60499783,2020-08-24,2020-08-25,20,Annually,782,275614,1
29,TC-29,60483766,2020-08-24,2020-08-29,15,Annually,417,930875,1
30,TC-30,60483773,2020-08-24,2020-08-27,15,Quaterly,531,860951,1
31,TC-31,60498569,2020-08-24,2020-09-10,30,Quaterly,2165,457663,1
32,TC-32,60237660,2020-08-24,2020-09-12,15,Quaterly,126,293875,1
33,TC-33,60407078,2020-08-24,2020-08-25,15,Annually,1935,833378,2
34,TC-34,60369404,2020-09-09,2020-09-09,10,Annually,542,493069,1
35,TC-35,60369015,2020-09-09,2020-09-14,20,Annually,685,841473,1
36,TC-36,60374451,2020-09-09,2020-09-09,10,Quaterly,187,500503,1
37,TC-37,60395103,2020-09-09,2020-09-10,25,Annually,1136,626651,1
38,TC-38,60406485,2020-09-09,2020-09-09,25,Annually,330,344998,1
39,TC-39,60379040,2020-09-09,2020-09-09,15,Quaterly,497,729526,1
40,TC-40,60464608,2020-09-09,2020-09-09,20,Annually,3550,800686,1
41,TC-41,60474031,2020-09-09,2020-09-10,25,Monthly,370,276493,1
42,TC-42,60407078,2020-09-14,2020-09-14,25,Quaterly,2449,489895,1
43,TC-43,60496290,2020-09-14,2020-09-15,30,Quaterly,724,294232,1
44,TC-44,60367454,2020-09-14,2020-09-15,10,Annually,329,304762,1
45,TC-45,60428363,2020-09-14,2020-09-18,30,Annually,990,405348,1
46,TC-46,60455529,2020-09-14,2020-09-25,15,Annually,866,399247,1
47,TC-47,60399135,2020-09-14,2020-09-14,20,Annually,513,534202,1
48,TC-48,60457266,2020-09-14,2020-09-28,25,Annually,1601,336515,3
49,TC-49,60463969,2020-09-14,2020-09-18,30,Annually,541,380556,1
50,TC-50,60485549,2020-09-29,2020-09-30,15,Annually,1960,437528,1
51,TC-51,60475721,2020-09-29,2020-09-30,10,Annually,133,357586,1
52,TC-52,60506681,2020-09-29,2020-09-30,10,Quaterly,358,944506,1
53,TC-53,60369405,2020-09-29,2020-09-30,10,Annually,254,593678,1
54,TC-54,60492879,2020-09-29,2020-09-30,25,Quaterly,807,879157,1
55,TC-55,60369582,2020-09-29,2020-10-31,15,Annually,518,549969,1
56,TC-56,60478356,2020-09-29,2020-09-29,20,Annually,2501,631071,1
57,TC-57,60501593,2020-09-29,2020-09-30,25,Quaterly,1121,985432,1
58,TC-58,60362605,2020-08-25,2020-08-25,10,Monthly,679,774774,1
59,TC-59,60478352,2020-08-25,2020-08-26,30,Monthly,2431,726112,1
60,TC-60,60358756,2020-08-25,2020-08-27,10,Annually,605,406885,1
61,TC-61,60478365,2020-08-25,2020-08-31,15,Annually,1688,734571,1
62,TC-62,60491071,2020-08-25,2020-08-29,25,Annually,349,374296,1
63,TC-63,60374451,2020-08-25,2020-08-25,25,Monthly,1717,961765,1
64,TC-64,60396086,2020-08-25,2020-08-26,15,Annually,758,702481,3
65,TC-65,60053955,2020-08-25,2020-08-28,15,Annually,264,271683,1
66,TC-66,60367457,2020-09-14,2020-09-19,15,Quaterly,479,894533,1
67,TC-67,60415147,2020-09-14,2020-09-14,25,Quaterly,1198,407535,1
68,TC-68,60476244,2020-09-14,2020-09-15,15,Annually,111,301638,1
69,TC-69,60378096,2020-09-14,2020-09-15,15,Annually,201,543467,1
70,TC-70,60429422,2020-09-14,2020-09-30,25,Annually,680,792933,1
71,TC-71,60490859,2020-09-14,2020-09-23,10,Monthly,1586,754221,2
72,TC-72,60455529,2020-09-14,2020-09-25,25,Annually,2302,552955,3
73,TC-73,60471921,2020-09-14,2020-09-15,10,Monthly,332,255522,1
74,TC-74,60481400,2020-09-29,2020-09-30,25,Annually,1222,896544,1
75,TC-75,60497056,2020-09-29,2020-09-30,15,Monthly,134,423989,1
76,TC-76,60376449,2020-09-29,2020-09-29,25,Annually,1066,434531,1
77,TC-77,60382071,2020-09-29,2020-09-30,15,Monthly,490,732786,1
78,TC-78,60214729,2020-09-29,2020-09-30,15,Quaterly,734,748647,1
79,TC-79,60504230,2020-09-29,2020-09-29,15,Monthly,190,382465,1
80,TC-80,60369420,2020-09-29,2020-09-30,15,Annually,1380,827290,3
81,TC-81,60369373,2020-09-29,2020-09-30,25,Annually,1485,420809,2
82,TC-82,60460114,2020-09-14,2020-09-14,10,Monthly,330,751406,1
83,TC-83,60407078,2020-09-14,2020-10-07,15,Annually,1465,616970,1
84,TC-84,60393168,2020-09-14,2020-09-23,25,Quaterly,634,994629,1
85,TC-85,60366675,2020-09-14,2020-09-26,15,Monthly,497,645501,1
86,TC-86,60455839,2020-09-14,2020-09-30,25,Quaterly,1365,900807,1
87,TC-87,60497903,2020-09-14,2020-09-15,15,Annually,1577,551408,1
88,TC-88,60461081,2020-09-14,2020-09-15,20,Monthly,3214,875257,1
89,TC-89,60246196,2020-09-14,2020-09-22,15,Monthly,619,713922,1
90,TC-90,60408916,2020-09-29,2020-09-30,15,Annually,891,641579,1
91,TC-91,60477058,2020-09-29,2020-09-30,10,Monthly,109,261295,1
92,TC-92,60435099,2020-09-29,2020-09-30,15,Quaterly,205,296422,1
93,TC-93,60359691,2020-09-29,2020-09-30,25,Quaterly,2943,990899,1
94,TC-94,60500669,2020-09-29,2020-09-29,10,Monthly,243,481196,1
95,TC-95,60407057,2020-09-29,2020-09-29,15,Annually,462,623698,1
96,TC-96,60462635,2020-09-29,2020-09-30,25,Quaterly,861,455660,1
97,TC-97,60395111,2020-09-29,2020-10-06,30,Annually,1150,303229,1
98,TC-98,60487563,2020-10-15,2020-10-28,25,Annually,2559,622119,1
99,TC-99,60505722,2020-10-15,2020-10-15,15,Quaterly,853,935708,1
100,TC-100,60223947,2020-10-15,2020-10-28,10,Annually,207,606070,1
101,TC-101,60369582,2020-10-15,2020-10-16,25,Annually,2167,688550,1
102,TC-102,60502705,2020-11-04,2020-11-05,25,Annually,4056,503341,1
103,TC-103,60489838,2020-11-04,2020-11-05,25,Quaterly,1261,487978,1
104,TC-104,60501091,2020-11-04,2020-11-05,25,Annually,1837,600815,1
105,TC-105,60497586,2020-11-04,2020-11-20,20,Monthly,737,955956,1
