60000001,Active,Graduate,36,6960,0.79,51,923,0,0,3,0.86
60000003,Active,High School,36,6967,0.85,50,4519,0,0,8,0.89
60000323,Inactive,Some College,49,6922,0.88,0,5643,0,0,25,0.87
60000368,Active,Graduate,50,6999,0.84,47,1075,0,0,6,0.84
60001150,Active,High School,51,6691,0.95,50,1653,0,0,1,0.95
60001262,Active,Lt High School,40,6713,0.86,49,416,0,0,7,0.82
60001419,Active,High School,54,6663,0.88,59,249,1,0.75,7,0.94
60001608,Active,High School,65,6637,0.95,57,778,0,0,0,0.87
60001836,Active,Graduate,50,6604,0.85,57,312,0,0,0,0.88
60001884,Active,Graduate,48,6667,0.86,48,1666,0,0,4,0.95
60002086,Active,High School,45,6593,0.7,55,656,0,0,0,0.9
60002280,Active,Lt High School,63,6514,0.87,49,579,0,0,8,0.93
60002641,Active,Some College,48,6572,0.84,54,301,0,0,5,0.94
60002757,Active,High School,34,6483,0.89,36,348,0,0,0,0.85
60002841,Active,High School,58,6468,0.91,59,3147,0,0,2,0.9
60002995,Active,Some College,48,6559,0.72,50,65,0,0,4,0.95
60003111,Active,Some College,46,6452,0.82,47,525,0,0,6,0.83
60003181,Active,Lt High School,36,6412,0.91,59,648,0,0,2,0.96
60003182,Active,Lt High School,39,6508,0.8,43,975,0,0,6,0.85
60003396,Active,High School,23,6507,0.69,36,1728,0,0,3,0.83
60003562,Active,Some College,42,6508,0.91,45,1387,0,0,5,0.96
60003590,Active,High School,53,6373,0.87,50,956,1,0.93,16,0.98
60003727,Active,Graduate,35,6428,0.77,37,3006,0,0,8,0.92
60003881,Active,High School,65,6389,0.93,60,469,0,0,0,0.96
60004077,Active,Some College,52,6345,0.79,51,2401,0,0,8,0.87
60004133,Active,High School,35,6412,0.8,37,250,0,0,23,0.88
60004159,Active,High School,54,6328,0.86,45,821,0,0,2,0.82
60004387,Active,Lt High School,27,6342,0.75,26,717,0,0,8,0.89
60004423,Active,Graduate,45,6364,0.72,58,1469,0,0,20,0.89
60004447,Active,High School,50,6306,0.75,56,2248,0,0,30,0.8
60004458,Active,High School,52,6304,0.83,54,2025,0,0,7,0.87
60004666,Active,Lt High School,42,6306,0.87,47,1352,0,0,8,0.91
60004720,Active,Lt High School,48,6356,0.92,52,1249,1,0.99,4,0.9
60004811,Active,Some College,58,6313,0.76,43,900,0,0,6,0.94
60004928,Active,High School,59,6283,0.87,50,268,0,0,3,0.92
60005563,Active,Some College,41,6276,0.94,59,433,0,0,25,0.82
60006004,Active,High School,52,6198,0.74,53,2862,0,0,6,0.86
60006064,Active,Graduate,58,6277,0.85,59,355,0,0,5,0.96
